,name,continent,independence_year,life_expectancy
157,Niue,Oceania,,
158,Netherlands,Europe,1581.0,78.3
159,Norway,Europe,1905.0,78.7
160,Nepal,Asia,1769.0,57.8
161,Nauru,Oceania,1968.0,60.8
162,New Zealand,Oceania,1907.0,77.8
163,Oman,Asia,1951.0,71.8
164,Pakistan,Asia,1947.0,61.1
165,Panama,North America,1903.0,75.5
166,Pitcairn,Oceania,,
167,Peru,South America,1821.0,70.0
168,Philippines,Asia,1946.0,67.5
169,Palau,Oceania,1994.0,68.6
170,Papua New Guinea,Oceania,1975.0,63.1
171,Poland,Europe,1918.0,73.2
172,Puerto Rico,North America,,75.6
173,North Korea,Asia,1948.0,70.7
174,Portugal,Europe,1143.0,75.8
175,Paraguay,South America,1811.0,73.7
176,Palestine,Asia,,71.4
177,French Polynesia,Oceania,,74.8
178,Qatar,Asia,1971.0,72.4
179,Reunion,Africa,,72.7
180,Romania,Europe,1878.0,69.9
181,Russian Federation,Europe,1991.0,67.2
182,Rwanda,Africa,1962.0,39.3
183,Saudi Arabia,Asia,1932.0,67.8
184,Sudan,Africa,1956.0,56.6
185,Senegal,Africa,1960.0,62.2
186,Singapore,Asia,1965.0,80.1
187,South Georgia and the South Sandwich Islands,Antarctica,,
188,Saint Helena,Africa,,76.8
189,Svalbard and Jan Mayen,Europe,,
190,Solomon Islands,Oceania,1978.0,71.3
191,Sierra Leone,Africa,1961.0,45.3
192,El Salvador,North America,1841.0,69.7
193,San Marino,Europe,885.0,81.1
194,Somalia,Africa,1960.0,46.2
195,Saint Pierre and Miquelon,North America,,77.6
196,Sao Tome and Principe,Africa,1975.0,65.3
197,Suriname,South America,1975.0,71.4
198,Slovakia,Europe,1993.0,73.7
199,Slovenia,Europe,1991.0,74.9
200,Sweden,Europe,836.0,79.6
201,Swaziland,Africa,1968.0,40.4
202,Seychelles,Africa,1976.0,70.4
203,Syria,Asia,1941.0,68.5
204,Turks and Caicos Islands,North America,,73.3
205,Chad,Africa,1960.0,50.5
206,Togo,Africa,1960.0,54.7
207,Thailand,Asia,1350.0,68.6
208,Tajikistan,Asia,1991.0,64.1
209,Tokelau,Oceania,,
210,Turkmenistan,Asia,1991.0,60.9
211,East Timor,Asia,,46.0
212,Tonga,Oceania,1970.0,67.9
213,Trinidad and Tobago,North America,1962.0,68.0
214,Tunisia,Africa,1956.0,73.7
215,Turkey,Asia,1923.0,71.0
216,Tuvalu,Oceania,1978.0,66.3
217,Taiwan,Asia,1945.0,76.4
218,Tanzania,Africa,1961.0,52.3
219,uganda,Africa,1962.0,42.9
220,ukraine,Europe,1991.0,66.0
221,united States Minor Outlying Islands,Oceania,,
222,uruguay,South America,1828.0,75.2
223,united States,North America,1776.0,77.1
224,uzbekistan,Asia,1991.0,63.7
225,Holy See (Vatican City State),Europe,1929.0,
226,Saint Vincent and the Grenadines,North America,1979.0,72.3
227,Venezuela,South America,1811.0,73.1
228,"Virgin Islands, British",North America,,75.4
229,"Virgin Islands, u.S.",North America,,78.1
230,Vietnam,Asia,1945.0,69.3
231,Vanuatu,Oceania,1980.0,60.6
232,Wallis and Futuna,Oceania,,
233,Samoa,Oceania,1962.0,69.2
234,Yemen,Asia,1918.0,59.8
235,Yugoslavia,Europe,1918.0,72.4
236,South Africa,Africa,1910.0,51.1
237,Zambia,Africa,1964.0,37.2
238,Zimbabwe,Africa,1980.0,37.8
